MRR Site Info Code,MRR Site Info Name,MRR Site Info RKM Mask,MRR Site Type Name,MRR Site Subbasin Code,MRR Site Subbasin Name,MRR Site Latitude Value,MRR Site Longitude Value,MRR Site Name,MRR Site Basin Name
DWOR,Dworshak National Fish Hatchery,*,Hatchery,17060306,Clearwater,46.50200081,-116.3234997,DWOR - Dworshak National Fish Hatchery,Clearwater
DWORMS,"Dworshak NFH, release into mainstem Clearwater River",522.224.065,Hatchery,17060306,Clearwater,46.50115662,-116.3230148,"DWORMS - Dworshak NFH, release into mainstem Clearwater River",Clearwater
DWORNF,"Dworshak NFH, release into North Fork Clearwater River",522.224.065.000,Hatchery,17060308,Lower North Fork Clearwater,46.50306094,-116.3225656,"DWORNF - Dworshak NFH, release into North Fork Clearwater River",Clearwater
EAG2NF,"North Fork Eagle Creek, Clackamas River Basin",163.040.026.010,River,17090011,Clackamas,45.32953539,-122.1869527,"EAG2NF - North Fork Eagle Creek, Clackamas River Basin",Willamette
EAGH,"Eagle Creek National Fish Hatchery, Clackamas River Basin",163.040.026.016,Hatchery,17090011,Clackamas,45.27603722,-122.202507,"EAGH - Eagle Creek National Fish Hatchery, Clackamas River Basin",Willamette
EAGL,Eagle Hatchery,*,Hatchery,17050114,Lower Boise,43.67822375,-116.4022593,EAGL - Eagle Hatchery,Middle Snake-Boise
EAGL2C,"Eagle Creek, Clackamas River Basin",163.040.026,River,17090011,Clackamas,45.27613054,-122.2048622,"EAGL2C - Eagle Creek, Clackamas River Basin",Willamette
EAGLEC,Eagle Creek,522.224.120.037.253.003,River,17060301,Upper Selway,45.83844005,-114.8928622,EAGLEC - Eagle Creek,Clearwater
EARLWC,"Early Winters Creek, Methow River Basin",843.113,River,17020008,Methow,48.59668781,-120.597166,"EARLWC - Early Winters Creek, Methow River Basin",Upper Columbia
EASTOP,Easton Acclimation Pond,539.325,Acclimation Pond,17030001,Upper Yakima,47.236201,-121.168441,EASTOP - Easton Acclimation Pond,Yakima
EBNK,East Bank Hatchery,*,Hatchery,17020010,Upper Columbia-Entiat,47.533692,-120.289238,EBNK - East Bank Hatchery,Upper Columbia
EFHORC,"East Fork Horse Creek, McKenzie River Basin",163.282.101,Archaic,17090004,Mckenzie,44.172995,-122.176398,"EFHORC - East Fork Horse Creek, McKenzie River Basin",Willamette
EIGH2C,"Eightmile Creek, Fifteenmile Creek Watershed",309.004,River,17070105,Middle Columbia-Hood,45.46133057,-121.2390948,"EIGH2C - Eightmile Creek, Fifteenmile Creek Watershed",Middle Columbia
EIGHTC,"Eightmile Creek, Chewuch River",843.080.018,River,17020008,Methow,48.69455656,-120.2639749,"EIGHTC - Eightmile Creek, Chewuch River",Upper Columbia
ELDORC,Eldorado Creek,522.224.087.041,River,17060306,Clearwater,46.28603378,-115.661044,ELDORC - Eldorado Creek,Clearwater
ELK2C,"Elk Creek, SF Salmon River",522.303.215.034,River,17060208,South Fork Salmon,45.14926469,-115.5066398,"ELK2C - Elk Creek, SF Salmon River",Salmon
ELK3C,"Elk Creek, trib. to Valley Creek, Salmon River",522.303.609.017,River,17060201,Upper Salmon,44.2608721,-115.1083129,"ELK3C - Elk Creek, trib. to Valley Creek, Salmon River",Salmon
ELKC,Elk Creek,522.303.319.170.014,River,17060205,Upper Middle Fork Salmon,44.41567157,-115.468764,ELKC - Elk Creek,Salmon
ELRH,"Elochoman River Hatchery (Elochoman River, Washington)",58.019,Hatchery,17080003,Lower Columbia-Clatskanie,46.260554,-123.298663,"ELRH - Elochoman River Hatchery (Elochoman River, Washington)",Lower Columbia
ENTH,Entiat NFH,778.011,Hatchery,17020010,Upper Columbia-Entiat,47.697934,-120.322888,ENTH - Entiat NFH,Upper Columbia
ENTIAR,Entiat River,778,River,17020010,Upper Columbia-Entiat,47.91097008,-120.4903306,ENTIAR - Entiat River,Upper Columbia
ESANIS,"East Sand Island, Columbia River",8,Avian Colony,17080006,Lower Columbia,46.262709,-123.972575,"ESANIS - East Sand Island, Columbia River",Lower Columbia
ETIENC,"Etienne (formerly Negro) Creek, tributary to Peshastin Creek",754.029.017,River,17020011,Wenatchee,47.42079453,-120.7285299,"ETIENC - Etienne (formerly Negro) Creek, tributary to Peshastin Creek",Upper Columbia
FAL,"Fall Creek Dam (USACE), MF Willamette River",163.301.013,Dam,17090001,Middle Fork Willamette,43.94584755,-122.7568258,"FAL - Fall Creek Dam (USACE), MF Willamette River",Willamette
FALL2C,"Fall Creek, MF Willamette River Basin",163.301.017,River,17090001,Middle Fork Willamette,43.96554632,-122.6063451,"FALL2C - Fall Creek, MF Willamette River Basin",Willamette
FALLC,Fall Creek,522.303.319.163,River,17060205,Upper Middle Fork Salmon,44.49328091,-115.1773513,FALLC - Fall Creek,Salmon
FALTAL,FAL - Release into the Tailrace within 0.5 km downstream of Dam,163.301.013,Intra-Dam Release Site,17090001,Middle Fork Willamette,43.94584755,-122.7568258,FALTAL - FAL - Release into the Tailrace within 0.5 km downstream of Dam,Willamette
FDD,"Feed Diversion Dam, Umatilla River",465.073,Dam,17070103,Umatilla,45.72030865,-119.1770561,"FDD - Feed Diversion Dam, Umatilla River",Middle Columbia
FDDFBY,FDD - Release into the Forebay within 0.5 km upstream of Dam,465.073,Intra-Dam Release Site,17070103,Umatilla,45.72030865,-119.1770561,FDDFBY - FDD - Release into the Forebay within 0.5 km upstream of Dam,Middle Columbia
FDDTAL,FDD - Release into the Tailrace within 0.5 km downstream of Dam,465.073,Intra-Dam Release Site,17070103,Umatilla,45.72030865,-119.1770561,FDDTAL - FDD - Release into the Tailrace within 0.5 km downstream of Dam,Middle Columbia
FEATHC,"Feather Creek, Potlatch River watershed",522.224.024.083.001,River,17060306,Clearwater,46.94668394,-116.4210149,"FEATHC - Feather Creek, Potlatch River watershed",Clearwater
FEEDCN,Feed Diversion Canal - headgate to diversion screen (km 000-001),465.047,River,17070103,Umatilla,45.72155641,-119.1772212,FEEDCN - Feed Diversion Canal - headgate to diversion screen (km 000-001),Middle Columbia
FISHC,Fish Creek,522.224.120.037.039,River,17060303,Lochsa,46.32871083,-115.4841501,FISHC - Fish Creek,Clearwater
FISHEC,Fisher Creek,522.303.628,River,17060201,Upper Salmon,44.06164341,-114.7581078,FISHEC - Fisher Creek,Salmon
FISTRP,Fish Creek Trap,522.224.120.037.039.002,Trap or Weir,17060303,Lochsa,46.34011495,-115.3551271,FISTRP - Fish Creek Trap,Clearwater
FITSUC,"Fitsum Creek, SF Salmon River Basin",522.303.215.062,River,17060208,South Fork Salmon,44.98855396,-115.8066736,"FITSUC - Fitsum Creek, SF Salmon River Basin",Salmon
FIVE2C,"Fivemile Creek, Fifteen Mile Creek Watershed",309.004.002,River,17070105,Middle Columbia-Hood,45.51714822,-121.2017701,"FIVE2C - Fivemile Creek, Fifteen Mile Creek Watershed",Middle Columbia
FIVEMC,Five Mile Creek,522.224.120.094.018,River,17060305,South Fork Clearwater,45.72031538,-115.5726533,FIVEMC - Five Mile Creek,Clearwater
FLATC,"Flat Creek, Secesh River Basin",522.303.215.059.039.001,River,17060208,South Fork Salmon,45.28231455,-115.8581402,"FLATC - Flat Creek, Secesh River Basin",Salmon
FLOSSC,Flossie Creek,522.303.282.027,River,17060207,Middle Salmon-Chamberlain,45.38375094,-115.2489287,FLOSSC - Flossie Creek,Salmon
FLUMEC,"Flume Creek, Lemhi River Basin",522.303.416.039.014,River,17060204,Lemhi,45.01084978,-113.494568,"FLUMEC - Flume Creek, Lemhi River Basin",Salmon
FOGDEW,"Foggy Dew Creek, Methow River watershed",843.035.009,River,17020008,Methow,48.17133796,-120.2753641,"FOGDEW - Foggy Dew Creek, Methow River watershed",Upper Columbia
FOS,"Foster Dam, South Santiam River",163.174.019.060,Dam,17090006,South Santiam,44.41518601,-122.6702538,"FOS - Foster Dam, South Santiam River",Willamette
FOSFBY,FOS - Release into the Forebay within 0.5 km upstream of Dam,163.174.019.060,Intra-Dam Release Site,17090006,South Santiam,44.41518601,-122.6702538,FOSFBY - FOS - Release into the Forebay within 0.5 km upstream of Dam,Willamette
FOSTAL,FOS - Release into the Tailrace within 0.5 km downstream of Dam,163.174.019.060,Intra-Dam Release Site,17090006,South Santiam,44.41518601,-122.6702538,FOSTAL - FOS - Release into the Tailrace within 0.5 km downstream of Dam,Willamette
FOSTC,Foster Creek - tributary to Columbia River,868,River,17020005,Chief Joseph,47.98551505,-119.6470523,FOSTC - Foster Creek - tributary to Columbia River,Upper Columbia
FOUNDI,"Foundation Island, Columbia River",518,Avian Colony,17070101,Middle Columbia-Lake Wallula,46.16755391,-118.9991186,"FOUNDI - Foundation Island, Columbia River",Middle Columbia
FREEZC,Freezeout Creek - tributary to Imnaha River,522.308.059,River,17060102,Imnaha,45.35041146,-116.7621691,FREEZC - Freezeout Creek - tributary to Imnaha River,Lower Snake
FRENCC,Frenchman Creek,522.303.647,River,17060201,Upper Salmon,43.8407259,-114.7912061,FRENCC - Frenchman Creek,Salmon
FRENCH,French Creek,522.303.169,River,17060209,Lower Salmon,45.28317472,-116.0440677,FRENCH - French Creek,Salmon
GABLEC,"Gable Creek, John Day River Basin",351.218.022,River,17070204,Lower John Day,44.53469589,-120.2354603,"GABLEC - Gable Creek, John Day River Basin",John Day
GATEC,"Gate Creek, Tributary to Chiwawa River",754.077.020,River,17020011,Wenatchee,47.91578258,-120.691902,"GATEC - Gate Creek, Tributary to Chiwawa River",Upper Columbia
GEDCWF,West Fork Gedney Creek,522.224.120.037.029.005,River,17060302,Lower Selway,46.15043992,-115.3075897,GEDCWF - West Fork Gedney Creek,Clearwater
GEDNEC,Gedney Creek,522.224.120.037.029,River,17060302,Lower Selway,46.10167327,-115.2769105,GEDNEC - Gedney Creek,Clearwater
GEECR,"Gee Creek, Washington, lower Columbia River",140,River,17080003,Lower Columbia-Clatskanie,45.81332247,-122.7301549,"GEECR - Gee Creek, Washington, lower Columbia River",Lower Columbia
GEORGC,"George Creek, Asotin Creek watershed",522.234.005,River,17060103,Lower Snake-Asotin,46.19230094,-117.1988414,"GEORGC - George Creek, Asotin Creek watershed",Lower Snake
GERMC,"Germany Creek, Lower Columbia River, Washington",90,River,17080003,Lower Columbia-Clatskanie,46.27009441,-123.1258969,"GERMC - Germany Creek, Lower Columbia River, Washington",Lower Columbia
GOATC,"Goat Creek, SF Salmon River",522.303.215.099,River,17060208,South Fork Salmon,44.7689333,-115.6510526,"GOATC - Goat Creek, SF Salmon River",Salmon
GOLD2C,"Gold Creek, Methow River",843.035,River,17020008,Methow,48.19032919,-120.155537,"GOLD2C - Gold Creek, Methow River",Upper Columbia
GOLD3C,Gold Creek - tributary to West Fork Sanpoil River,981.076.005,River,17020004,Sanpoil,48.38306507,-118.8937103,GOLD3C - Gold Creek - tributary to West Fork Sanpoil River,Upper Columbia
GOLDC,Gold Creek,522.303.621,River,17060201,Upper Salmon,44.13011987,-114.8289707,GOLDC - Gold Creek,Salmon
GOOS2I,"Goose Island, Columbia River above Priest Rapids Dam",641,Avian Colony,17020016,Upper Columbia-Priest Rapids,46.66099515,-119.9166824,"GOOS2I - Goose Island, Columbia River above Priest Rapids Dam",Upper Columbia
GOOSEI,"Goose Island, lower Snake River",522.014,Avian Colony,17060110,Lower Snake,46.24363664,-118.9082617,"GOOSEI - Goose Island, lower Snake River",Lower Snake
GRAND1,Grande Ronde River - mouth to Wallowa River (km 0-131),522.271,River Segment,17060106,Lower Grande Ronde,45.98034596,-117.3896047,GRAND1 - Grande Ronde River - mouth to Wallowa River (km 0-131),Lower Snake
GRAND2,Grande Ronde River - Wallowa River to headwaters (km 131-325),522.271,River Segment,17060104,Upper Grande Ronde,45.3256363,-117.9205262,GRAND2 - Grande Ronde River - Wallowa River to headwaters (km 131-325),Lower Snake
GRANDP,Grande Ronde River Pond,522.271.320,Acclimation Pond,17060104,Upper Grande Ronde,45.079276,-118.331479,GRANDP - Grande Ronde River Pond,Lower Snake
GRANDR,GRANDE RONDE RIVER (ARCHAIC - REPLACED WITH REACH-SPECIFIC DEFINITIONS),522.271,Archaic,N/A,,,,GRANDR - GRANDE RONDE RIVER (ARCHAIC - REPLACED WITH REACH-SPECIFIC DEFINITIONS),
GRANDW,Grande Ronde River Weir,522.271.307,Trap or Weir,17060104,Upper Grande Ronde,45.24896051,-118.3889834,GRANDW - Grande Ronde River Weir,Lower Snake
GRAYH,"Grays Harbor, WA",~~~,Other,17100105,Grays Harbor,46.95604611,-124.0416532,"GRAYH - Grays Harbor, WA",Washington Coastal
GRAYSR,"Grays River, Washington, lower Columbia River",32,River,17080006,Lower Columbia,46.36519918,-123.5620718,"GRAYSR - Grays River, Washington, lower Columbia River",Lower Columbia
GRBLDC,"Granite Boulder Creek, Middle Fork John Day River",351.298.052.090,River,17070203,Middle Fork John Day,44.6808955,-118.6115501,"GRBLDC - Granite Boulder Creek, Middle Fork John Day River",John Day
GREENR,"Green River, trib. to NF Toutle River",111.032.028.018,River,17080005,Lower Cowlitz,46.37968721,-122.3040473,"GREENR - Green River, trib. to NF Toutle River",Lower Columbia
GREEPC,Green Point Creek (tributary to West Fork Hood River),273.020.002,River,17070105,Middle Columbia-Hood,45.59862319,-121.7199892,GREEPC - Green Point Creek (tributary to West Fork Hood River),Middle Columbia
GRNTRP,Grande Ronde River Trap,522.271.002,Trap or Weir,17060106,Lower Grande Ronde,46.0700077,-116.9848117,GRNTRP - Grande Ronde River Trap,Lower Snake
GROUSC,"Grouse Creek, Secesh River Basin",522.303.215.059.039,River,17060208,South Fork Salmon,45.29015849,-115.8285067,"GROUSC - Grouse Creek, Secesh River Basin",Salmon
GUMBTC,"Gumboot Creek, Imnaha River Basin",522.308.086,River,17060102,Imnaha,45.15571928,-116.9411113,"GUMBTC - Gumboot Creek, Imnaha River Basin",Lower Snake
HADENC,Haden Creek - tributary to Lost Creek,981.076.022.019,River,17020004,Sanpoil,48.44541745,-119.1304464,HADENC - Haden Creek - tributary to Lost Creek,Upper Columbia
HADESF,South Fork Haden Creek,981.076.022.019.003,River,17020004,Sanpoil,48.41956802,-119.1263754,HADESF - South Fork Haden Creek,Upper Columbia
HAGE,Hagerman NFH,*,Hatchery,17040212,Upper Snake-Rock,42.76651,-114.875602,HAGE - Hagerman NFH,Upper Snake
HALLC,Hall Creek - tributary to Columbia River,1086,River,17020001,Franklin D. Roosevelt Lake,48.38872046,-118.3296377,HALLC - Hall Creek - tributary to Columbia River,Upper Columbia
HANSPC,"Hancock Springs Creek, tributary to Methow River",843.097,River,17020008,Methow,48.53791996,-120.3382329,"HANSPC - Hancock Springs Creek, tributary to Methow River",Upper Columbia
HANTWN,Hanford town site boat ramp,576,Other,17020016,Upper Columbia-Priest Rapids,46.583667,-119.373667,HANTWN - Hanford town site boat ramp,Upper Columbia
HANWTB,Hanford White Bluffs boat ramp,587,Other,17020016,Upper Columbia-Priest Rapids,46.673217,-119.459367,HANWTB - Hanford White Bluffs boat ramp,Upper Columbia
HARDC,Hard Creek,522.303.140.031.002,River,17060210,Little Salmon,45.1278523,-116.2210804,HARDC - Hard Creek,Salmon
HATRCK,Hat Rock State Park (Oregon),480,Other,17070101,Middle Columbia-Lake Wallula,45.9177,-119.174,HATRCK - Hat Rock State Park (Oregon),Middle Columbia
HAWLYC,"Hawley Creek, Lemhi River Basin",522.303.416.092.004,River,17060204,Lemhi,44.65991914,-113.2445511,"HAWLYC - Hawley Creek, Lemhi River Basin",Salmon
HAYDEF,"East Fork Hayden Creek, Lemhi River Basin",522.303.416.049.015,River,17060204,Lemhi,44.71545093,-113.6604216,"HAYDEF - East Fork Hayden Creek, Lemhi River Basin",Salmon
HAYDNC,"Hayden Creek, Lemhi River Basin",522.303.416.049,River,17060204,Lemhi,44.75276564,-113.7129834,"HAYDNC - Hayden Creek, Lemhi River Basin",Salmon
HAYNSC,"Haynes Creek, Lemhi River Basin",522.303.416.026,River,17060204,Lemhi,44.99803552,-113.7263157,"HAYNSC - Haynes Creek, Lemhi River Basin",Salmon
HAZARC,Hazard Creek,522.303.140.031,River,17060210,Little Salmon,45.22694351,-116.1844933,HAZARC - Hazard Creek,Salmon
HCD,Hells Canyon Dam,522.397,Dam,17060101,Hells Canyon,45.24261634,-116.7010428,HCD - Hells Canyon Dam,Lower Snake
HCDTAL,HCD - Release into the Tailrace within 0.5 km downstream of Dam,522.397,Intra-Dam Release Site,17060101,Hells Canyon,45.24261634,-116.7010428,HCDTAL - HCD - Release into the Tailrace within 0.5 km downstream of Dam,Lower Snake
HCR,"Hills Creek Dam, Middle Fork Willamette River",163.301.073,Dam,17090001,Middle Fork Willamette,43.70860231,-122.4236426,"HCR - Hills Creek Dam, Middle Fork Willamette River",Willamette
HCRFBY,HCR - Release into the Forebay within 0.5 km upstream of Dam,163.301.073,Intra-Dam Release Site,17090001,Middle Fork Willamette,43.70860231,-122.4236426,HCRFBY - HCR - Release into the Forebay within 0.5 km upstream of Dam,Willamette
HCRREG,HCR - Release into the Regulating Channel of the Tailrace within 0.5 km of Dam,163.301.073,Intra-Dam Release Site,17090001,Middle Fork Willamette,43.70860231,-122.4236426,HCRREG - HCR - Release into the Regulating Channel of the Tailrace within 0.5 km of Dam,Willamette
HCRTUR,HCR - Release into the Turbine Channel of the Tailrace within 0.5 km of Dam,163.301.073,Intra-Dam Release Site,17090001,Middle Fork Willamette,43.70860231,-122.4236426,HCRTUR - HCR - Release into the Turbine Channel of the Tailrace within 0.5 km of Dam,Willamette
HELLRC,Hell Roaring Creek,522.303.631,River,17060201,Upper Salmon,44.02763971,-114.902734,HELLRC - Hell Roaring Creek,Salmon
HERDC,Herd Creek,522.303.552.014,River,17060201,Upper Salmon,44.10941308,-114.2571348,HERDC - Herd Creek,Salmon
HERMAC,"Herman Creek, Columbia River Gorge (OR)",243,River,17070105,Middle Columbia-Hood,45.65368365,-121.8196037,"HERMAC - Herman Creek, Columbia River Gorge (OR)",Middle Columbia
HLK,"Hemlock Dam, Wind River (WA) watershed",251.017.002,Dam,17070105,Middle Columbia-Hood,45.80200798,-121.9322651,"HLK - Hemlock Dam, Wind River (WA) watershed",Middle Columbia
HLKTAL,HLK - Release into the Tailrace within 0.5 km downstream of Dam,251.017.002,Intra-Dam Release Site,17070105,Middle Columbia-Hood,45.80200798,-121.9322651,HLKTAL - HLK - Release into the Tailrace within 0.5 km downstream of Dam,Middle Columbia
HOODEF,East Fork Hood River,273.023,River,17070105,Middle Columbia-Hood,45.41961854,-121.5680947,HOODEF - East Fork Hood River,Middle Columbia
HOODMF,Middle Fork Hood River,273.023,River,17070105,Middle Columbia-Hood,45.51983405,-121.6300705,HOODMF - Middle Fork Hood River,Middle Columbia
HOODR,Hood River,273,River,17070105,Middle Columbia-Hood,45.6512248,-121.5683835,HOODR - Hood River,Middle Columbia
HOODWF,West Fork Hood River,273.02,River,17070105,Middle Columbia-Hood,45.53842365,-121.7243861,HOODWF - West Fork Hood River,Middle Columbia
HORS2C,"Horse Creek, upper McKenzie River Basin",163.282.101,River,17090004,Mckenzie,44.07483121,-122.0207864,"HORS2C - Horse Creek, upper McKenzie River Basin",Willamette
HORS3C,"Horse Creek, Imnaha River Basin",522.308.018,River,17060102,Imnaha,45.54950795,-116.7272731,"HORS3C - Horse Creek, Imnaha River Basin",Lower Snake
HORSEC,Horse Creek,522.303.301,River,17060207,Middle Salmon-Chamberlain,45.46934931,-114.5618246,HORSEC - Horse Creek,Salmon
HUCKLC,Huckleberry Creek,522.303.624,River,17060201,Upper Salmon,44.05473352,-114.8839127,HUCKLC - Huckleberry Creek,Salmon
HUNGC,Hungery Creek (Lochsa River Basin),522.224.120.037.039.007,River,17060303,Lochsa,46.38463235,-115.487523,HUNGC - Hungery Creek (Lochsa River Basin),Clearwater
I-90B,I-90 bridge over Columbia River upstream of Wanapum Dam,677,Other,17020010,Upper Columbia-Entiat,46.9422,-119.973,I-90B - I-90 bridge over Columbia River upstream of Wanapum Dam,Upper Columbia
ICICLC,Icicle Creek,754.041,River,17020011,Wenatchee,47.60784114,-120.881419,ICICLC - Icicle Creek,Upper Columbia
ICTRAP,"Lake Washington, Issaquah Creek Trap",***,Trap or Weir,17110012,Lake Washington,47.54686177,-122.0469525,"ICTRAP - Lake Washington, Issaquah Creek Trap",Puget Sound
IHR,Ice Harbor Dam,522.016,Dam,17060110,Lower Snake,46.24952747,-118.8799638,IHR - Ice Harbor Dam,Lower Snake
IHRBYP,IHR - Release into the Facility Bypass Flume/Pipe,522.016,Intra-Dam Release Site,17060110,Lower Snake,46.24952747,-118.8799638,IHRBYP - IHR - Release into the Facility Bypass Flume/Pipe,Lower Snake
IHRCOL,IHR - Release into the Collection Channel upstream of the Dewatering Facility,522.016,Intra-Dam Release Site,17060110,Lower Snake,46.24952747,-118.8799638,IHRCOL - IHR - Release into the Collection Channel upstream of the Dewatering Facility,Lower Snake
IHRSPF,IHR - Release into the Forebay within 0.5 km upstream of Spillway,522.016,Intra-Dam Release Site,17060110,Lower Snake,46.24952747,-118.8799638,IHRSPF - IHR - Release into the Forebay within 0.5 km upstream of Spillway,Lower Snake
IHRSPL,IHR - Release directly into Spill Bay(s),522.016,Intra-Dam Release Site,17060110,Lower Snake,46.24952747,-118.8799638,IHRSPL - IHR - Release directly into Spill Bay(s),Lower Snake
IHRTAL,IHR - Release into the Tailrace within 0.5 km downstream of Dam,522.016,Intra-Dam Release Site,17060110,Lower Snake,46.24952747,-118.8799638,IHRTAL - IHR - Release into the Tailrace within 0.5 km downstream of Dam,Lower Snake
IHRTRB,IHR - Release into Turbine(s),522.016,Intra-Dam Release Site,17060110,Lower Snake,46.24952747,-118.8799638,IHRTRB - IHR - Release into Turbine(s),Lower Snake
IMNAHR,Imnaha River,522.308,River,17060102,Imnaha,45.39694069,-116.7918754,IMNAHR - Imnaha River,Lower Snake
IMNAHW,Imnaha River Weir,522.308.084,Trap or Weir,17060102,Imnaha,45.19427639,-116.8686635,IMNAHW - Imnaha River Weir,Lower Snake
IMNTRP,Imnaha Trap,522.308.007,Trap or Weir,17060102,Imnaha,45.7637,-116.748,IMNTRP - Imnaha Trap,Lower Snake
IMQP,Imeques Acclimation Pond,465.128,Acclimation Pond,17070103,Umatilla,45.70694599,-118.349891,IMQP - Imeques Acclimation Pond,Middle Columbia
INDI2C,"Indian Creek, tributary to Tillicum Creek",778.017.003.004,River,17020010,Upper Columbia-Entiat,47.7486704,-120.4783193,"INDI2C - Indian Creek, tributary to Tillicum Creek",Upper Columbia
INDIAC,"Indian Creek, Middle Fork Salmon River",522.303.319.110,River,17060205,Upper Middle Fork Salmon,44.83275657,-115.2268168,"INDIAC - Indian Creek, Middle Fork Salmon River",Salmon
INKANC,Inkaneep Creek - tributary to Okanagan River (Canada),858.139,River,17020006,Okanogan,49.12238066,-119.4246083,INKANC - Inkaneep Creek - tributary to Okanagan River (Canada),Upper Columbia
IRON2C,Iron Creek - tributary to Sanpoil River,981.026,River,17020004,Sanpoil,48.13255609,-118.6476481,IRON2C - Iron Creek - tributary to Sanpoil River,Upper Columbia
IRONC,Iron Creek - tributary to Salmon River,522.303.461,River,17060203,Middle Salmon-Panther,44.91870084,-114.0793553,IRONC - Iron Creek - tributary to Salmon River,Salmon
IRRI,Irrigon Hatchery,*,Hatchery,17070101,Middle Columbia-Lake Wallula,45.90923963,-119.5458563,IRRI - Irrigon Hatchery,Middle Columbia
IS18,"Island 18, Columbia River",549,Avian Colony,17020016,Upper Columbia-Priest Rapids,46.36007819,-119.2630045,"IS18 - Island 18, Columbia River",Upper Columbia
JACK2C,"Jack Creek, tributary of Icicle Creek, Wenatchee River Watershed",754.041.027,River,17020011,Wenatchee,47.54904051,-120.9490895,"JACK2C - Jack Creek, tributary of Icicle Creek, Wenatchee River Watershed",Upper Columbia
JACKCP,Jack Creek Acclimation Pond,539.284.017.009,Acclimation Pond,17030001,Upper Yakima,47.324642,-120.854193,JACKCP - Jack Creek Acclimation Pond,Yakima
JACKSC,Jacks Creek,522.224.047,River,17060306,Clearwater,46.46210345,-116.4883188,JACKSC - Jacks Creek,Clearwater
JDA,John Day Dam,347,Dam,17070105,Middle Columbia-Hood,45.71530615,-120.6927026,JDA - John Day Dam,Middle Columbia
JDABYP,JDA - Release into the Facility Bypass Flume/Pipe,347,Intra-Dam Release Site,17070105,Middle Columbia-Hood,45.71530615,-120.6927026,JDABYP - JDA - Release into the Facility Bypass Flume/Pipe,Middle Columbia
JDACOL,JDA - Release into the Collection Channel upstream of the Dewatering Facility,347,Intra-Dam Release Site,17070105,Middle Columbia-Hood,45.71530615,-120.6927026,JDACOL - JDA - Release into the Collection Channel upstream of the Dewatering Facility,Middle Columbia
JDAFBY,JDA - Release into the Forebay within 0.5 km upstream of Dam,347,Intra-Dam Release Site,17070105,Middle Columbia-Hood,45.71530615,-120.6927026,JDAFBY - JDA - Release into the Forebay within 0.5 km upstream of Dam,Middle Columbia
JDAGAT,JDA - Release into Flume between Separator Exit and the Primary PIT-Tag Diversion Gate,347,Intra-Dam Release Site,17070105,Middle Columbia-Hood,45.71530615,-120.6927026,JDAGAT - JDA - Release into Flume between Separator Exit and the Primary PIT-Tag Diversion Gate,Middle Columbia
JDAGWL,JDA - Release into Gatewell(s),347,Intra-Dam Release Site,17070105,Middle Columbia-Hood,45.71530615,-120.6927026,JDAGWL - JDA - Release into Gatewell(s),Middle Columbia
JDAMRT,JDA - Mortality Recovery,347,Intra-Dam Release Site,17070105,Middle Columbia-Hood,45.71530615,-120.6927026,JDAMRT - JDA - Mortality Recovery,Middle Columbia
JDAR,JOHN DAY RIVER (ARCHAIC - REPLACED WITH REACH-SPECIFIC DEFINITIONS),351,Archaic,N/A,,,,JDAR - JOHN DAY RIVER (ARCHAIC - REPLACED WITH REACH-SPECIFIC DEFINITIONS),
JDAR1,John Day River - mouth to North Fork John Day River (km 0-298),351,River Segment,17070204,Lower John Day,45.10280598,-120.506363,JDAR1 - John Day River - mouth to North Fork John Day River (km 0-298),John Day
JDAR2,John Day River - North Fork John Day River to headwaters (km 298-454),351,River Segment,17070201,Upper John Day,44.41504278,-119.1943083,JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454),John Day
JDARMF,Middle Fork John Day River,351.298.052,River,17070203,Middle Fork John Day,44.78021885,-118.8949763,JDARMF - Middle Fork John Day River,John Day
JDARNF,North Fork John Day River,351.298,River,17070202,North Fork John Day,45.01095641,-119.003438,JDARNF - North Fork John Day River,John Day
JDARRR,JDA - Release below the PIT-Tag Diversion System Gate with subsequent Return to the River at the Facility,347,Intra-Dam Release Site,17070105,Middle Columbia-Hood,45.71530615,-120.6927026,JDARRR - JDA - Release below the PIT-Tag Diversion System Gate with subsequent Return to the River at the Facility,Middle Columbia
JDARSF,South Fork John Day River,351.341,River,17070201,Upper John Day,44.15884241,-119.5126546,JDARSF - South Fork John Day River,John Day
JDATAL,JDA - Release into the Tailrace within 0.5 km downstream of Dam,347,Intra-Dam Release Site,17070105,Middle Columbia-Hood,45.71530615,-120.6927026,JDATAL - JDA - Release into the Tailrace within 0.5 km downstream of Dam,Middle Columbia
JERSEC,Jersey Creek,522.303.223,River,17060207,Middle Salmon-Chamberlain,45.44466937,-115.5198253,JERSEC - Jersey Creek,Salmon
JNSCAS,"Jones Creek Acc. Site, WF Hood River",273.020.041,Acclimation Pond,17070105,Middle Columbia-Hood,45.4623,-121.7818,"JNSCAS - Jones Creek Acc. Site, WF Hood River",Middle Columbia
JOHN2C,Johnson Creek - tributary to Okanogan River,858.066,River,17020006,Okanogan,48.46541185,-119.5731733,JOHN2C - Johnson Creek - tributary to Okanogan River,Upper Columbia
JOHNC,Johns Creek,522.224.120.056,River,17060305,South Fork Clearwater,45.70129845,-115.8810747,JOHNC - Johns Creek,Clearwater
